MFCCs (mean),Max,Mean,Min,Paths,Std,Var,Zero crossing (mean),Chroma cens (mean),Chroma cqt (mean),Chroma stft (mean),Melspectrogram (mean),RMSE (mean),Spectral bandwidth (mean),Spectral centroid (mean),Spectral contrast (mean),Spectral rolloff (mean),Tonnetz (mean)
-3.309450515117487,0.144439697265625,-8.383617401123048e-05,-0.155487060546875,construction/done1.wav,0.0292527227370928,0.0008557217875332263,0.14696797623801916,0.2772980005432016,0.6438252591201213,0.6075276182772622,0.16589394133337124,0.028549563249981688,2459.0141210031743,2594.3877273990124,16.270598142622894,5273.846065045927,0.006623452199258957
-9.265147251269036,0.439056396484375,-5.8763504028320325e-06,-0.56121826171875,construction/done10.wav,0.039591082200506236,0.001567453789807242,0.4102451702276358,0.25406831161219195,0.5318366551106649,0.4177281216574738,0.1775164883773889,0.03836223025404655,3153.563162073161,5329.219152092431,18.34786405772868,8834.426558131989,0.00836222667450477
-17.983096829283863,0.15447998046875,-2.9998397827148438e-05,-0.17987060546875,construction/done100.wav,0.017951379087579884,0.00032225201114600044,0.42032747603833853,0.2755112372059739,0.6226171019053626,0.5869265458245357,0.01805901088553116,0.014296927820602719,2837.308750802575,4968.253121855377,16.28422435263692,8289.320056659346,0.0028017112030061238
-3.9794506641979734,0.704864501953125,-4.662303924560547e-05,-0.8731689453125,construction/done101.wav,0.06704094250576942,0.004494487972061882,0.3493082942292332,0.2820563519401001,0.6772464575097317,0.5654509548045361,0.5327887581271046,0.062353970653947814,2830.9845783877918,4492.972576330483,16.560727150960687,8160.430420701878,-0.0020799550037848675
-2.163356919536054,0.933502197265625,0.00012499103546142578,-0.748260498046875,construction/done102.wav,0.09944397171362884,0.009889103510181014,0.34997753594249204,0.2825718602000556,0.6849543969906433,0.5744278103736018,0.8094313672871879,0.09209329403854888,2911.7837143778884,4494.5885618642305,16.257180635018617,8237.069360897563,0.00470968544069451
1.9970088781557849,0.55120849609375,1.8999290466308594e-05,-0.660491943359375,construction/done103.wav,0.16620757511748435,0.02762495802643421,0.021317454572683702,0.2444386774735861,0.4524639832326306,0.4823288187086761,6.574095974409692,0.15422706493751484,1330.034311648323,644.7133111193555,15.436074061359127,974.4634366263977,-0.021239351356356656
-3.3729610717851988,0.731536865234375,3.645668029785157e-05,-0.736328125,construction/done104.wav,0.14875221500668745,0.02212722146939577,0.219974603134984,0.2737728705403944,0.5700192038329558,0.3200722814090573,3.748709094966008,0.13662055431718798,2323.821874878628,3149.2807855314763,22.432950644647725,6046.702307557906,0.004418614132000738
-9.696515548762877,0.545989990234375,1.9016265869140624e-07,-0.613311767578125,construction/done105.wav,0.07298010029768573,0.005326095039460268,0.3882974740415335,0.2597994709016043,0.5197021494060852,0.42698771279294506,0.4581125345380353,0.06516648198830664,2922.3682026048955,5253.805806415143,19.132830398679324,8722.151198707068,-0.01991024026594541
-10.455074950176897,0.431671142578125,-3.229961395263672e-05,-0.36407470703125,construction/done106.wav,0.04296444928522904,0.0018459439023830184,0.4254271290934505,0.2827418561799257,0.6768965100749549,0.4405102673200486,0.07952445517477996,0.030492900040889438,2784.32228322146,4809.198301050678,16.037834532100785,7884.213773587259,-0.0033774378829036834
0.031264360199901316,0.996429443359375,-3.510284423828125e-06,-0.975189208984375,construction/done107.wav,0.19865972521731545,0.03946568642341928,0.08618398063099042,0.2546869750103085,0.5648534031015802,0.2686750991687376,8.717646293309766,0.17555956086769212,1267.026788162981,1359.2464144441851,18.80559683964105,2136.77483214357,-0.005178968491997126
